num,data_div,unrestricted_axis,scale_index,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
10,10,2,0,13,29,0.0654217079281807,2,29,0.011743942275643349,11,29,14,29,0.03870173171162605
10,10,2,1,10,29,0.400619775056839,5,29,0.02136322110891342,10,29,14,17,0.2478543370962143
10,10,2,2,9,21,0.5480639934539795,5,29,-0.027308937162160873,9,21,14,10,0.3952946066856384
10,10,2,3,8,29,0.48538482189178467,5,29,-0.05309363454580307,8,29,14,8,0.3626011908054352
10,10,2,4,8,19,0.3040694296360016,14,29,-0.04328341409564018,8,19,14,7,0.23956486582756042
10,20,2,0,14,18,0.15068352222442627,5,29,0.10488372296094894,14,14,12,29,0.175240620970726
10,20,2,1,9,24,0.31917399168014526,5,29,0.11860493570566177,9,23,14,6,0.288385808467865
10,20,2,2,8,29,0.48755866289138794,5,29,0.037714675068855286,8,29,14,4,0.4081818461418152
10,20,2,3,8,27,0.4783669412136078,5,29,0.019593164324760437,8,26,14,5,0.39908790588378906
10,20,2,4,8,18,0.40639886260032654,5,29,-0.008852009661495686,8,18,14,6,0.3371257483959198
10,30,2,0,8,29,0.14593487977981567,5,29,0.16953396797180176,8,17,11,1,0.22712865471839905
10,30,2,1,9,21,0.3066319525241852,5,29,0.17507757246494293,8,26,13,2,0.32984107732772827
10,30,2,2,8,29,0.39542487263679504,5,29,0.12071642279624939,8,23,14,2,0.39791926741600037
10,30,2,3,8,20,0.388717919588089,5,29,0.11854217201471329,8,16,14,2,0.3926330506801605
10,30,2,4,7,29,0.2889240086078644,5,29,0.08611277490854263,7,29,12,1,0.30215081572532654
10,40,2,0,13,29,0.07751833647489548,5,7,0.23066161572933197,9,10,13,1,0.248944953083992
10,40,2,1,9,25,0.18096885085105896,5,26,0.22343581914901733,8,22,10,2,0.2982378900051117
10,40,2,2,8,29,0.2831558883190155,5,29,0.1912594735622406,8,19,13,1,0.3601384162902832
10,40,2,3,8,29,0.25098323822021484,5,29,0.1810038983821869,7,18,2,0,0.3386869728565216
10,40,2,4,8,21,0.18428704142570496,4,14,0.17592820525169373,7,28,5,1,0.2803070545196533
12,10,0,0,10,29,0.12387973070144653,14,29,0.11595968157052994,13,24,13,29,0.12423048168420792
12,10,0,1,9,29,0.13387402892112732,14,29,0.2638638913631439,13,19,12,29,0.1955985426902771
12,10,0,2,8,29,0.23259584605693817,14,29,0.25701865553855896,12,15,11,29,0.27525123953819275
12,10,0,3,8,29,0.21131400763988495,14,29,0.1932077556848526,10,15,10,29,0.2471509575843811
12,10,0,4,8,29,0.1629043072462082,14,29,0.11554709076881409,10,14,10,29,0.18116606771945953
12,20,0,0,14,29,0.20163226127624512,14,29,0.12813302874565125,11,29,12,28,0.19071736931800842
12,20,0,1,9,24,0.21963240206241608,14,29,0.23527680337429047,12,15,11,29,0.26499903202056885
12,20,0,2,9,24,0.27603834867477417,14,29,0.2640838325023651,13,17,12,28,0.32032254338264465
12,20,0,3,8,29,0.25133195519447327,14,29,0.2027972787618637,10,15,10,29,0.29660871624946594
12,20,0,4,8,29,0.20019599795341492,14,29,0.1319534033536911,10,13,10,28,0.22375644743442535
12,30,0,0,9,27,0.16779181361198425,14,29,0.15979476273059845,11,20,11,29,0.20843519270420074
12,30,0,1,8,29,0.20896567404270172,14,29,0.25262531638145447,12,15,11,29,0.2729244828224182
12,30,0,2,8,29,0.2685023844242096,14,29,0.25524792075157166,10,15,10,29,0.3227555751800537
12,30,0,3,8,29,0.27257269620895386,13,29,0.21507184207439423,10,15,10,29,0.3212566375732422
12,30,0,4,8,29,0.24074122309684753,14,29,0.15108686685562134,10,14,10,29,0.270525187253952
12,40,0,0,9,23,0.16079595685005188,14,29,0.1842883825302124,12,15,11,29,0.22863157093524933
12,40,0,1,8,29,0.21274687349796295,13,29,0.2503579556941986,14,13,12,26,0.3174162209033966
12,40,0,2,8,29,0.2678908109664917,14,29,0.24209649860858917,10,15,10,29,0.3544815480709076
12,40,0,3,8,29,0.24988064169883728,14,3,0.22677451372146606,8,19,10,6,0.3430367410182953
12,40,0,4,8,24,0.23339518904685974,14,2,0.17662295699119568,8,12,13,1,0.3081463575363159
14,10,1,0,8,29,0.21094800531864166,14,5,0.16984598338603973,8,29,9,29,0.1778426468372345
14,10,1,1,8,28,0.29709213972091675,7,6,0.24277463555335999,8,29,10,7,0.28095743060112
14,10,1,2,8,25,0.32514262199401855,6,5,0.2590891718864441,8,25,11,5,0.3118939697742462
14,10,1,3,8,20,0.2795543968677521,4,9,0.21998737752437592,8,19,14,2,0.2805173993110657
14,10,1,4,8,19,0.2279883474111557,3,12,0.16786201298236847,7,26,12,0,0.22560755908489227
14,20,1,0,8,23,0.2294773906469345,5,7,0.23224987089633942,8,21,10,3,0.2498430758714676
14,20,1,1,8,24,0.26477983593940735,5,7,0.27530160546302795,8,24,9,4,0.29355093836784363
14,20,1,2,8,22,0.28778213262557983,5,7,0.28946006298065186,8,20,10,3,0.3127424716949463
14,20,1,3,8,21,0.26581278443336487,4,8,0.23440532386302948,8,15,14,1,0.2761884033679962
14,20,1,4,8,20,0.22647641599178314,3,11,0.1887177675962448,8,15,14,1,0.2351572960615158
14,30,1,0,8,27,0.2303297370672226,6,9,0.271132230758667,8,29,8,5,0.26168519258499146
14,30,1,1,8,25,0.2781347930431366,6,7,0.30540794134140015,8,29,8,6,0.309637188911438
14,30,1,2,8,23,0.2760254442691803,5,9,0.31659674644470215,8,23,9,4,0.3175089359283447
14,30,1,3,8,22,0.28528088331222534,5,8,0.32361629605293274,8,23,8,5,0.3283333480358124
14,30,1,4,8,21,0.285047709941864,5,7,0.28495004773139954,8,20,10,3,0.3137456178665161
14,40,1,0,8,21,0.231830894947052,7,5,0.23340535163879395,8,22,9,6,0.2493252009153366
14,40,1,1,8,23,0.25057247281074524,6,6,0.26302260160446167,8,23,9,6,0.2807582914829254
14,40,1,2,8,22,0.2500755488872528,6,5,0.26976117491722107,8,21,9,5,0.28337258100509644
14,40,1,3,8,22,0.2492499202489853,5,6,0.2813458740711212,8,20,9,3,0.29437944293022156
14,40,1,4,8,19,0.2319723516702652,4,6,0.213229700922966,8,16,11,2,0.25347742438316345
16,10,2,0,13,29,0.06307115405797958,13,29,0.08096443861722946,12,28,12,29,0.025605184957385063
16,10,2,1,9,29,0.12949323654174805,14,29,0.17183078825473785,14,29,14,29,0.06644568592309952
16,10,2,2,13,29,0.15647445619106293,14,29,0.15571559965610504,14,28,14,29,0.07765180617570877
16,10,2,3,13,29,0.11197514832019806,14,29,0.1307998150587082,12,28,12,29,0.04684401676058769
16,10,2,4,9,29,0.04094386845827103,8,25,0.05109424516558647,13,26,8,25,0.013629085384309292
16,20,2,0,9,29,0.1449633091688156,14,12,0.14910291135311127,10,29,11,18,0.10010840743780136
16,20,2,1,9,27,0.21714140474796295,14,13,0.24212788045406342,11,29,12,21,0.1535046249628067
16,20,2,2,10,29,0.2217051237821579,14,12,0.2133590579032898,13,29,14,25,0.13970351219177246
16,20,2,3,13,29,0.180543452501297,13,29,0.2098260372877121,12,28,12,29,0.0935061052441597
16,20,2,4,9,29,0.09159771353006363,14,29,0.13632123172283173,14,25,13,29,0.0438968762755394
16,30,2,0,9,27,0.1643967181444168,14,9,0.15474221110343933,13,27,13,29,0.12336047738790512
16,30,2,1,9,25,0.22337926924228668,14,9,0.24671570956707,11,29,13,16,0.1705848127603531
16,30,2,2,9,24,0.2301894575357437,14,8,0.24663479626178741,11,29,14,13,0.17931899428367615
16,30,2,3,9,28,0.22452008724212646,14,12,0.23761992156505585,14,28,14,29,0.1641371250152588
16,30,2,4,9,28,0.17491848766803741,14,9,0.1757553070783615,11,26,11,29,0.1258232444524765
16,40,2,0,9,24,0.15039297938346863,14,15,0.16357995569705963,13,26,13,27,0.12016668915748596
16,40,2,1,9,26,0.19927994906902313,14,14,0.2284165471792221,13,29,14,24,0.14597567915916443
16,40,2,2,9,26,0.2441171109676361,14,9,0.24159958958625793,12,28,13,23,0.1878226399421692
16,40,2,3,9,26,0.228959858417511,14,8,0.23283261060714722,13,28,14,24,0.17589028179645538
16,40,2,4,9,26,0.16078992187976837,14,9,0.17180070281028748,13,21,12,29,0.12315239757299423
18,10,2,0,14,29,0.09567845612764359,14,29,-0.0016886970261111856,11,29,14,29,0.020752495154738426
18,10,2,1,9,27,0.18967638909816742,14,29,-0.01118987612426281,9,27,14,27,0.055922556668519974
18,10,2,2,9,24,0.2700256109237671,14,29,-0.050810135900974274,9,24,14,24,0.12716956436634064
18,10,2,3,8,29,0.26623278856277466,14,29,-0.05542202666401863,8,29,13,28,0.14022326469421387
18,10,2,4,8,29,0.14095883071422577,14,29,-0.06265228241682053,8,29,13,28,0.06497383117675781
18,20,2,0,13,29,0.10560121387243271,14,29,0.014466416090726852,11,29,14,29,0.02087816596031189
18,20,2,1,9,27,0.18883398175239563,14,29,0.017501255497336388,9,27,14,26,0.05388100817799568
18,20,2,2,8,29,0.2600373923778534,14,29,-0.01399441622197628,8,29,13,28,0.12208515405654907
18,20,2,3,8,29,0.22442331910133362,14,29,-0.0031550698913633823,8,29,13,28,0.11440607160329819
18,20,2,4,8,29,0.15876616537570953,14,29,-0.02040964923799038,8,29,13,25,0.08073996007442474
18,30,2,0,13,25,0.11369945108890533,14,29,0.011805295944213867,14,23,14,29,0.05556321144104004
18,30,2,1,9,23,0.14942564070224762,14,29,-0.005697939544916153,9,21,10,29,0.06962568312883377
18,30,2,2,8,29,0.20265406370162964,14,29,-0.008699588477611542,8,29,10,29,0.12909574806690216
18,30,2,3,8,29,0.19937308132648468,14,29,-0.019974440336227417,8,29,13,26,0.1205516904592514
18,30,2,4,8,18,0.13932180404663086,14,29,-0.06809175759553909,8,18,12,23,0.09824780374765396
18,40,2,0,10,29,0.10604994744062424,14,29,0.05676241219043732,14,25,14,29,0.07424632459878922
18,40,2,1,9,24,0.150897815823555,14,29,0.04187687858939171,9,23,10,26,0.10390417277812958
18,40,2,2,8,29,0.160623237490654,14,29,0.0521215982735157,8,29,10,10,0.13240833580493927
18,40,2,3,8,29,0.15341633558273315,14,29,0.03321102634072304,8,29,10,15,0.11756587028503418
18,40,2,4,8,29,0.11589500308036804,14,29,0.01858551800251007,10,14,10,29,0.09201639145612717
50,10,2,0,9,16,0.20545542240142822,14,29,-0.03485489264130592,9,16,12,29,0.14567531645298004
50,10,2,1,8,29,0.25114983320236206,5,29,-0.023890838027000427,8,29,14,7,0.17693966627120972
50,10,2,2,9,22,0.24792598187923431,5,29,-0.027146024629473686,9,22,14,29,0.16160321235656738
50,10,2,3,9,23,0.2507324814796448,5,29,-0.024311527609825134,9,23,14,28,0.16274632513523102
50,10,2,4,9,29,0.20433561503887177,5,29,-0.012182592414319515,9,29,12,29,0.11384004354476929
50,20,2,0,8,18,0.38389360904693604,5,29,-0.03587576746940613,8,18,11,29,0.29165560007095337
50,20,2,1,8,21,0.4308719038963318,5,29,-0.00040885977796278894,8,21,11,17,0.3357258141040802
50,20,2,2,9,15,0.4708177447319031,5,29,0.01664271019399166,11,12,11,27,0.3632267415523529
50,20,2,3,9,17,0.47069939970970154,5,29,0.005161051172763109,9,16,11,20,0.3545740842819214
50,20,2,4,9,16,0.3897837996482849,5,29,0.004314745310693979,9,15,11,18,0.2894667685031891
50,30,2,0,8,23,0.4597141742706299,5,29,0.03838513791561127,8,21,13,6,0.3766869306564331
50,30,2,1,8,25,0.46775323152542114,5,29,0.047455258667469025,8,22,14,4,0.3924367427825928
50,30,2,2,9,16,0.5183366537094116,5,29,0.0729261264204979,9,15,12,10,0.42791932821273804
50,30,2,3,8,29,0.5074267387390137,5,29,0.03877638652920723,8,27,10,24,0.402251660823822
50,30,2,4,8,25,0.42733824253082275,5,29,0.03066021203994751,8,24,10,27,0.3446848690509796
50,40,2,0,9,15,0.3445754945278168,5,29,0.0762844905257225,9,14,14,5,0.3105234205722809
50,40,2,1,8,24,0.3737983703613281,5,29,0.10041038691997528,8,20,14,3,0.3505004942417145
50,40,2,2,9,16,0.4256826341152191,5,29,0.10797218233346939,9,14,14,5,0.3789829909801483
50,40,2,3,9,16,0.4165073335170746,5,29,0.1193348616361618,9,14,13,6,0.38416817784309387
50,40,2,4,8,24,0.40081775188446045,5,29,0.09213545173406601,8,20,13,4,0.3595888316631317
52,10,0,0,8,29,0.3781588673591614,2,29,0.004628744442015886,8,29,14,5,0.2867283225059509
52,10,0,1,9,23,0.3999153673648834,14,29,0.03457135334610939,9,22,11,18,0.3056260645389557
52,10,0,2,9,21,0.42416974902153015,14,29,0.038950443267822266,9,20,11,17,0.33971330523490906
52,10,0,3,9,27,0.39663732051849365,14,29,0.03256300091743469,14,22,14,29,0.291500985622406
52,10,0,4,9,22,0.2925703227519989,14,29,0.047726597636938095,9,20,10,29,0.23899386823177338
52,20,0,0,8,29,0.42070427536964417,14,4,0.03418552502989769,8,29,10,21,0.3409319221973419
52,20,0,1,8,29,0.4709715247154236,14,29,0.03944415599107742,8,28,10,21,0.38609829545021057
52,20,0,2,8,29,0.461825966835022,14,29,0.05006006732583046,8,29,10,20,0.381197988986969
52,20,0,3,9,20,0.4548165202140808,4,29,0.03389696776866913,9,19,11,17,0.36331066489219666
52,20,0,4,9,20,0.4001959562301636,1,29,0.034095585346221924,8,29,10,21,0.31350815296173096
52,30,0,0,8,24,0.36125126481056213,6,9,0.09697878360748291,8,19,11,8,0.32745805382728577
52,30,0,1,8,24,0.3971240520477295,5,29,0.0866108164191246,9,14,14,5,0.3627859950065613
52,30,0,2,8,20,0.416284441947937,5,21,0.06342189759016037,8,18,10,18,0.3696000576019287
52,30,0,3,8,26,0.4119572937488556,4,29,0.06765485554933548,9,15,12,9,0.3642772436141968
52,30,0,4,9,17,0.3453187644481659,4,29,0.07206925749778748,9,16,13,7,0.2982296943664551
52,40,0,0,8,25,0.33987778425216675,5,8,0.11048100143671036,8,21,12,5,0.32045045495033264
52,40,0,1,9,16,0.37424778938293457,5,29,0.0944511741399765,9,14,14,5,0.340043842792511
52,40,0,2,8,21,0.36646178364753723,8,4,0.09381167590618134,8,17,12,5,0.3428907096385956
52,40,0,3,9,18,0.37822648882865906,6,5,0.08550877124071121,9,16,12,9,0.3449006974697113
52,40,0,4,8,29,0.33381539583206177,4,29,0.08332498371601105,9,15,14,5,0.2980167865753174
54,10,1,0,8,27,0.31824538111686707,5,4,0.17316700518131256,8,27,12,9,0.2721472680568695
54,10,1,1,9,17,0.3448055386543274,12,2,0.20998670160770416,9,17,10,29,0.2917221188545227
54,10,1,2,8,22,0.3356821537017822,14,1,0.19425606727600098,8,22,10,23,0.29462090134620667
54,10,1,3,8,27,0.31153619289398193,14,3,0.1703057587146759,8,27,13,28,0.2547149658203125
54,10,1,4,9,24,0.2706710398197174,13,4,0.12060404568910599,9,24,13,23,0.18509718775749207
54,20,1,0,8,27,0.2777375280857086,12,3,0.2103751003742218,8,29,10,9,0.2568635642528534
54,20,1,1,14,16,0.3282608091831207,14,4,0.25550708174705505,11,18,11,27,0.28780022263526917
54,20,1,2,8,29,0.33136487007141113,13,4,0.2476148158311844,8,29,10,11,0.2952835261821747
54,20,1,3,11,19,0.3535991311073303,14,4,0.23498234152793884,9,23,10,25,0.2881559133529663
54,20,1,4,14,18,0.27207955718040466,14,7,0.2270994931459427,9,25,10,22,0.23358719050884247
54,30,1,0,8,29,0.24495495855808258,10,2,0.14854732155799866,8,29,11,9,0.21723105013370514
54,30,1,1,9,21,0.28250792622566223,14,8,0.20754513144493103,9,21,10,23,0.2411961406469345
54,30,1,2,8,29,0.2616472542285919,13,6,0.17443396151065826,8,29,10,25,0.21496349573135376
54,30,1,3,9,21,0.2704218327999115,14,3,0.15703348815441132,9,21,10,29,0.21886636316776276
54,30,1,4,9,20,0.19248823821544647,9,5,0.11452225595712662,9,20,11,21,0.15074314177036285
54,40,1,0,8,29,0.2963826656341553,10,5,0.2286246120929718,8,29,10,13,0.2602003812789917
54,40,1,1,9,21,0.30671340227127075,14,4,0.22222432494163513,9,22,10,24,0.25915300846099854
54,40,1,2,8,29,0.28078165650367737,14,4,0.22034016251564026,8,29,10,8,0.2587222456932068
54,40,1,3,10,20,0.2616443634033203,14,6,0.20554469525814056,9,27,10,22,0.21671603620052338
54,40,1,4,10,24,0.17352525889873505,8,29,0.15570978820323944,9,29,11,11,0.13790465891361237
56,10,2,0,8,20,0.20766401290893555,13,3,0.1956852376461029,8,19,8,17,0.19867222011089325
56,10,2,1,8,22,0.2146458923816681,7,7,0.2042689174413681,9,13,9,29,0.2026352733373642
56,10,2,2,8,23,0.2164713591337204,7,8,0.20499619841575623,9,15,10,7,0.20043352246284485
56,10,2,3,14,11,0.19014404714107513,14,4,0.17436286807060242,14,10,11,27,0.17149756848812103
56,10,2,4,12,9,0.1402902901172638,14,6,0.14929738640785217,14,4,11,7,0.13799959421157837
56,20,2,0,8,29,0.12346388399600983,14,6,0.10543233156204224,13,16,14,14,0.1064746156334877
56,20,2,1,9,23,0.14385685324668884,14,10,0.12858383357524872,13,23,13,25,0.11194150894880295
56,20,2,2,9,29,0.16334225237369537,7,29,0.13055509328842163,13,29,14,26,0.12490932643413544
56,20,2,3,4,29,0.09747952967882156,14,14,0.07110743224620819,4,29,10,2,0.09670257568359375
56,20,2,4,4,29,0.09118319302797318,7,29,0.06684776395559311,4,29,14,1,0.09025505930185318
56,30,2,0,8,29,0.14215125143527985,8,18,0.16989369690418243,13,4,8,18,0.13170504570007324
56,30,2,1,8,29,0.16264235973358154,14,9,0.1820131540298462,11,28,14,12,0.1298668086528778
56,30,2,2,9,23,0.17802612483501434,10,8,0.18728074431419373,11,29,14,13,0.14820921421051025
56,30,2,3,8,29,0.19598105549812317,14,8,0.2084643691778183,9,23,9,28,0.16727901995182037
56,30,2,4,8,29,0.1859533190727234,14,10,0.21256446838378906,9,26,9,29,0.1690012514591217
56,40,2,0,8,29,0.17313426733016968,8,10,0.17230097949504852,11,18,14,8,0.15053871273994446
56,40,2,1,8,29,0.17234988510608673,7,14,0.16620659828186035,8,29,8,19,0.14970968663692474
56,40,2,2,8,29,0.19872954487800598,7,15,0.18694451451301575,8,29,8,16,0.17671561241149902
