num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,28,0.7988447546958923,5,29,-0.004590276628732681,9,28,14,11,0.5211451649665833
0,20,2,8,29,0.8516559600830078,5,29,0.0014190570218488574,8,29,14,6,0.6481112241744995
0,30,2,8,24,0.6226724982261658,5,29,0.36944445967674255,8,16,14,1,0.7238410711288452
0,40,2,8,29,0.5675457715988159,5,29,0.3878549635410309,8,24,12,2,0.6998997330665588
1,10,2,8,26,0.3782956004142761,5,29,0.6965148448944092,8,16,9,3,0.7939602732658386
1,20,2,8,23,0.31940957903862,5,29,0.7125079035758972,8,16,8,3,0.7680560350418091
1,30,2,8,23,0.4309525787830353,5,29,0.6626175045967102,8,14,9,3,0.8002227544784546
1,40,2,8,21,0.3425692617893219,5,20,0.7455006837844849,7,29,5,6,0.8475203514099121
2,10,0,9,27,0.3782508671283722,14,29,0.4069097340106964,13,18,12,29,0.43290045857429504
2,20,0,9,24,0.4034504294395447,14,29,0.4030798375606537,13,17,12,28,0.49634402990341187
2,30,0,9,24,0.4325936734676361,14,29,0.39786165952682495,13,17,12,28,0.5142349004745483
2,40,0,8,29,0.4247604012489319,14,5,0.4435470998287201,9,15,12,5,0.6180720925331116
3,10,0,8,29,0.36006125807762146,14,2,0.5716511011123657,8,19,9,5,0.6680424809455872
3,20,0,8,29,0.28855252265930176,12,2,0.6302644610404968,9,10,12,2,0.7014532089233398
3,30,0,8,26,0.2889803349971771,11,2,0.6243220567703247,9,8,13,1,0.7011352777481079
3,40,0,8,29,0.25228065252304077,14,1,0.6550924777984619,9,11,12,2,0.7139078974723816
4,10,1,8,28,0.4908510446548462,6,8,0.4066769778728485,8,29,10,7,0.4664131700992584
4,20,1,8,19,0.48351427912712097,6,6,0.47752681374549866,8,21,9,6,0.5183151364326477
4,30,1,8,24,0.4422754943370819,6,6,0.4522522985935211,8,26,9,5,0.47496357560157776
4,40,1,8,21,0.46375006437301636,6,6,0.4872185289859772,8,22,9,5,0.5102684497833252
5,10,1,8,25,0.38452965021133423,7,6,0.5592288970947266,8,29,7,8,0.49602094292640686
5,20,1,8,21,0.39805054664611816,5,8,0.5475389957427979,8,28,6,7,0.5149396061897278
5,30,1,8,22,0.38916105031967163,6,6,0.5435271859169006,8,27,7,6,0.5097173452377319
5,40,1,8,22,0.3788524568080902,5,8,0.5438055992126465,8,28,6,7,0.5106313228607178
6,10,2,9,29,0.3563790023326874,14,22,0.3857487142086029,14,28,14,29,0.23322758078575134
6,20,2,9,27,0.3785479664802551,14,13,0.42799344658851624,11,29,12,21,0.2729944884777069
6,30,2,9,26,0.405712753534317,14,11,0.44782203435897827,10,29,11,18,0.3056561052799225
6,40,2,9,25,0.43635156750679016,14,9,0.4714013934135437,10,29,11,18,0.3425465524196625
7,10,2,9,28,0.3010689616203308,14,13,0.3460622727870941,12,29,13,23,0.21146473288536072
7,20,2,9,25,0.4147206246852875,13,10,0.4573025405406952,10,29,11,18,0.3184656500816345
7,30,2,9,25,0.38986319303512573,13,9,0.43628498911857605,11,29,13,16,0.29901930689811707
7,40,2,9,25,0.41031113266944885,14,9,0.4584752917289734,11,29,13,16,0.3169570565223694
8,10,2,9,24,0.41839516162872314,14,29,-0.08305847644805908,9,24,14,24,0.19257168471813202
8,20,2,9,24,0.4815468192100525,14,29,-0.05743877962231636,9,24,14,24,0.2154001146554947
8,30,2,8,29,0.3341519236564636,14,29,0.07993154227733612,8,29,10,10,0.2732563316822052
8,40,2,9,25,0.3270089328289032,14,29,0.12117613106966019,9,23,10,24,0.2378983050584793
9,10,2,9,27,0.17645129561424255,10,29,0.22928375005722046,9,21,10,13,0.22393862903118134
9,20,2,3,29,0.18186265230178833,6,29,0.4740985929965973,8,22,7,7,0.5021753311157227
9,30,2,3,29,0.17417648434638977,6,29,0.4272814393043518,8,23,8,6,0.4602779746055603
9,40,2,3,29,0.19006629288196564,6,14,0.40168434381484985,8,17,7,6,0.4564460217952728
20,10,2,8,29,0.8545029759407043,5,29,-0.04198610037565231,8,29,14,8,0.622769832611084
20,20,2,8,29,0.8359763026237488,5,29,-0.021571140736341476,8,29,14,8,0.621056318283081
20,30,2,8,23,0.7203636169433594,5,29,0.18694964051246643,8,20,14,3,0.6889426708221436
20,40,2,8,22,0.6885178089141846,5,29,0.26144519448280334,8,17,14,2,0.705685555934906
22,10,0,9,26,0.43003228306770325,14,29,0.3714810609817505,11,20,11,29,0.4707728922367096
22,20,0,8,29,0.47579964995384216,14,29,0.38122794032096863,11,19,11,28,0.5370335578918457
22,30,0,8,29,0.4781435430049896,13,29,0.4033527672290802,8,23,10,6,0.6252950429916382
22,40,0,8,29,0.43266481161117554,14,8,0.42907339334487915,8,22,10,5,0.6167027354240417
24,10,1,8,21,0.5845100283622742,5,6,0.33023154735565186,8,21,12,25,0.5133152604103088
24,20,1,8,18,0.5641123652458191,5,6,0.47272297739982605,8,18,11,4,0.5677312612533569
24,30,1,8,20,0.4997355043888092,6,5,0.4712660312652588,8,20,10,4,0.5316414833068848
24,40,1,8,22,0.4706176817417145,6,5,0.5106135010719299,8,22,9,4,0.5327498912811279
