num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,23,0.8822706937789917,5,29,-0.022462395951151848,9,23,14,10,0.6118420958518982
0,20,2,8,27,0.7955447435379028,5,29,0.08027274161577225,8,24,14,4,0.6670054197311401
0,30,2,8,25,0.6425144076347351,5,29,0.32481423020362854,8,19,13,2,0.7218819856643677
0,40,2,8,27,0.5305415391921997,5,29,0.5280355215072632,8,15,12,1,0.7625423073768616
1,10,2,8,29,0.3534090518951416,5,29,0.6758447289466858,8,16,9,3,0.7751042246818542
1,20,2,8,22,0.31276407837867737,5,17,0.7547082901000977,8,11,8,2,0.8457680344581604
1,30,2,8,22,0.34136098623275757,5,21,0.6949033737182617,8,9,9,1,0.8017091751098633
1,40,2,8,22,0.2630325257778168,5,8,0.791306734085083,7,19,4,5,0.8721386194229126
2,10,0,9,25,0.41346317529678345,14,29,0.4046509265899658,11,20,11,29,0.485782265663147
2,20,0,8,29,0.45526689291000366,14,29,0.40464553236961365,10,15,10,29,0.5618484616279602
2,30,0,8,29,0.43590450286865234,14,7,0.4465915858745575,9,15,11,8,0.6153925657272339
2,40,0,8,29,0.36281371116638184,14,2,0.5886141061782837,9,10,13,2,0.7034187316894531
3,10,0,8,27,0.3252865970134735,14,2,0.6633039116859436,8,17,9,3,0.7350766658782959
3,20,0,8,27,0.26142051815986633,14,1,0.6535950899124146,9,7,12,1,0.7194617986679077
3,30,0,8,27,0.2800323963165283,11,2,0.6462455987930298,9,10,12,2,0.7164082527160645
3,40,0,8,25,0.2370341718196869,14,1,0.684755802154541,9,7,12,1,0.7463206052780151
4,10,1,8,18,0.506862461566925,5,7,0.507063627243042,8,19,9,5,0.55632084608078
4,20,1,8,20,0.43159812688827515,5,7,0.5290083885192871,8,20,8,4,0.5238494277000427
4,30,1,8,19,0.41983118653297424,5,6,0.5346896052360535,8,17,8,3,0.5311670899391174
4,40,1,8,19,0.4246757924556732,5,6,0.5481856465339661,8,19,7,4,0.5441941618919373
5,10,1,8,20,0.3941539525985718,5,7,0.5425727963447571,8,22,7,5,0.5213014483451843
5,20,1,8,23,0.41478922963142395,7,5,0.5744996070861816,8,29,7,6,0.5468490123748779
5,30,1,8,19,0.4157656729221344,4,10,0.5669472217559814,8,19,7,4,0.5545610785484314
5,40,1,7,29,0.41023018956184387,4,8,0.5432828068733215,8,15,7,3,0.5349645018577576
6,10,2,9,28,0.28809458017349243,14,12,0.31396737694740295,12,29,13,23,0.19590215384960175
6,20,2,9,27,0.335523784160614,12,10,0.3619203567504883,10,29,11,18,0.23638132214546204
6,30,2,9,26,0.3682857155799866,14,10,0.40653467178344727,10,29,11,18,0.2695867419242859
6,40,2,9,25,0.40772631764411926,13,9,0.44339022040367126,11,29,14,13,0.3109029233455658
7,10,2,9,27,0.21392352879047394,14,10,0.24565593898296356,11,29,13,16,0.148182213306427
7,20,2,9,26,0.36305758357048035,14,12,0.4191240966320038,11,29,12,21,0.2643779218196869
7,30,2,9,25,0.40020567178726196,14,11,0.4540571868419647,10,29,11,17,0.30612343549728394
7,40,2,8,29,0.4249413311481476,10,9,0.4758101999759674,10,29,12,12,0.3403738737106323
8,10,2,9,24,0.43509602546691895,14,29,-0.04394996911287308,9,24,13,29,0.17679567635059357
8,20,2,8,29,0.4777684509754181,14,29,-0.07965851575136185,8,29,13,28,0.2505674958229065
8,30,2,8,29,0.33236241340637207,14,29,-0.020526222884655,8,29,12,24,0.2038620114326477
8,40,2,9,27,0.18799883127212524,14,9,0.16421319544315338,8,29,9,5,0.23512259125709534
9,10,2,3,29,0.1425916999578476,5,29,0.30413496494293213,8,23,8,5,0.3464132249355316
