num,data_div,unrestricted_axis,scale_index,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
10,10,2,0,8,25,0.13080766797065735,14,29,-0.019363613799214363,8,25,14,9,0.10252874344587326
10,10,2,1,9,29,0.5128679275512695,5,29,0.012059381231665611,9,29,14,12,0.3193470537662506
10,10,2,2,9,24,0.6287517547607422,5,29,-0.0026247291825711727,9,24,14,12,0.43380674719810486
10,10,2,3,8,29,0.6292105317115784,5,29,-0.05131150409579277,8,29,14,8,0.47062233090400696
10,10,2,4,8,24,0.44880905747413635,5,29,-0.050036150962114334,8,24,14,11,0.335135281085968
10,20,2,0,8,24,0.30966007709503174,5,29,0.04796928912401199,8,23,14,6,0.2599647045135498
10,20,2,1,9,19,0.4655994474887848,5,29,0.06277167797088623,9,19,14,8,0.37239670753479004
10,20,2,2,8,28,0.5721834897994995,5,29,0.037293411791324615,8,27,14,7,0.454140841960907
10,20,2,3,8,26,0.5990237593650818,5,29,-0.0038364336360245943,8,25,14,7,0.4740600883960724
10,20,2,4,8,20,0.5130499601364136,5,29,-0.01729338802397251,8,20,14,8,0.40143415331840515
10,30,2,0,8,26,0.3340415954589844,5,29,0.1686905026435852,8,20,11,5,0.35899245738983154
10,30,2,1,8,29,0.38594356179237366,5,29,0.2039044350385666,8,20,13,2,0.43017712235450745
10,30,2,2,8,22,0.4101281762123108,5,29,0.20365197956562042,8,16,13,2,0.46251237392425537
10,30,2,3,8,23,0.4274559020996094,5,29,0.1701461225748062,7,25,6,0,0.46526575088500977
10,30,2,4,8,18,0.37316587567329407,5,29,0.14840169250965118,7,15,11,0,0.3971167504787445
10,40,2,0,8,21,0.19776290655136108,5,29,0.26394352316856384,8,11,11,1,0.32213178277015686
10,40,2,1,8,23,0.2676563560962677,5,29,0.2853156626224518,8,13,12,1,0.3863711357116699
10,40,2,2,8,23,0.2925490140914917,5,29,0.28449341654777527,8,14,11,2,0.4099920392036438
10,40,2,3,8,20,0.3045099675655365,5,29,0.251872718334198,7,29,0,0,0.4040241241455078
10,40,2,4,8,16,0.2936374247074127,5,29,0.20942190289497375,7,9,9,0,0.354459673166275
12,10,0,0,9,28,0.11286326497793198,14,29,0.17297303676605225,14,20,13,29,0.14923575520515442
12,10,0,1,9,29,0.24902404844760895,14,29,0.2604864537715912,13,24,13,29,0.2775663137435913
12,10,0,2,9,26,0.2855987250804901,14,29,0.2955963909626007,13,18,12,29,0.3288210928440094
12,10,0,3,8,29,0.2759283781051636,14,29,0.21648967266082764,10,15,10,29,0.3130771815776825
12,10,0,4,8,29,0.1882590502500534,14,29,0.1106460839509964,8,29,10,10,0.2070554792881012
12,20,0,0,9,21,0.16004717350006104,14,29,0.18794259428977966,12,15,11,29,0.20863762497901917
12,20,0,1,9,24,0.22293566167354584,14,29,0.23971104621887207,12,15,11,29,0.2864827513694763
12,20,0,2,9,23,0.28589779138565063,14,29,0.28989607095718384,10,15,10,29,0.3494684398174286
12,20,0,3,8,29,0.2857997417449951,14,29,0.23921748995780945,10,14,10,28,0.3481174111366272
12,20,0,4,9,21,0.2363574057817459,14,29,0.16365739703178406,14,14,12,29,0.2787405848503113
12,30,0,0,8,29,0.1738872230052948,14,4,0.17990486323833466,11,12,11,18,0.24557185173034668
12,30,0,1,9,23,0.22596833109855652,14,10,0.2519018352031708,11,14,14,8,0.3284119963645935
12,30,0,2,8,29,0.2707269787788391,14,27,0.2827798128128052,9,15,10,15,0.3885067403316498
12,30,0,3,8,29,0.281710147857666,14,5,0.2506476640701294,8,17,11,3,0.3830563724040985
12,30,0,4,8,28,0.2557666003704071,11,3,0.21556100249290466,8,15,11,3,0.3516066074371338
12,40,0,0,9,17,0.08569594472646713,11,0,0.18947938084602356,6,3,1,0,0.21756334602832794
12,40,0,1,8,29,0.1352243721485138,12,1,0.18832679092884064,8,5,11,0,0.253532737493515
12,40,0,2,8,29,0.15062639117240906,14,2,0.20571650564670563,9,9,13,2,0.2736207842826843
12,40,0,3,8,29,0.15060856938362122,14,2,0.20264612138271332,9,7,14,1,0.2693261504173279
12,40,0,4,8,29,0.13128812611103058,11,0,0.17127057909965515,8,8,12,0,0.2292931228876114
14,10,1,0,8,25,0.24696388840675354,14,3,0.1469460129737854,8,25,10,24,0.2143004685640335
14,10,1,1,8,23,0.35009878873825073,6,8,0.27073240280151367,8,23,11,6,0.32873281836509705
14,10,1,2,8,19,0.3676147162914276,5,10,0.3043566346168518,8,19,11,4,0.36384695768356323
14,10,1,3,7,29,0.3759884536266327,4,8,0.2950298488140106,7,29,13,0,0.370943546295166
14,10,1,4,7,29,0.32168328762054443,4,7,0.24356161057949066,7,29,11,2,0.31173357367515564
14,20,1,0,8,22,0.3217926621437073,11,3,0.2961578369140625,8,24,9,11,0.3325025737285614
14,20,1,1,8,20,0.32419267296791077,6,5,0.33004623651504517,8,21,9,4,0.3553556501865387
14,20,1,2,8,18,0.30753180384635925,5,6,0.3343081474304199,8,17,9,4,0.35316231846809387
14,20,1,3,7,29,0.3285534381866455,5,5,0.36303281784057617,8,16,9,3,0.38117921352386475
