num,data_div,id_average,ood_average
0,10,0.9973684210526316,0.061723276653350985
0,20,0.9812761069340017,0.1081106403015518
0,30,0.9952850877192982,0.19689167980964037
0,40,1.0,0.2649914846887885
2,10,0.9973659003831418,0.11601473270766097
2,20,0.9847239326765189,0.12890851987347637
2,30,0.9944357366771159,0.19432135615418775
2,40,0.9781523672687464,0.30119444104454596
4,10,1.0,0.19351273914165498
4,20,0.9981916817359856,0.22697230491569528
4,30,1.0,0.29805800731075816
4,40,1.0,0.2736602880504118
6,10,0.9953495998950543,0.09247287176871297
6,20,0.9559850202707345,0.07297018111762914
6,30,0.9948051948051948,0.09419894272918847
6,40,0.9904280904280904,0.0912036961847926
8,10,0.900419146334179,0.12062863782725572
8,20,0.8679935593334286,0.16693700504274953
8,30,0.912050476756359,0.24078272297063044
8,40,0.8795296569806372,0.31670919211879617
40,10,0.7314142949249333,0.046129186795475965
40,20,0.8596331092075773,0.07307334947954049
40,30,0.7277433913604126,0.06939964964219401
40,40,0.9985410334346504,0.1548055901915849
42,10,0.9597666940339354,0.04079298999873886
42,20,0.6207375478927204,0.03514951632387335
42,30,0.9870655446086481,0.10007609986808172
42,40,0.9978448275862069,0.1661285809640575
44,10,0.927622061482821,0.053412150090515594
44,20,0.9621308016877637,0.053089170794109374
44,30,0.9710970464135021,0.061349141861174954
44,40,0.8245378742214186,0.0821180235115432
46,10,0.6042824865193287,0.08934201099607525
46,20,0.9519140338219286,0.07342154414933244
46,30,0.9620140945798841,0.07026379207853688
46,40,0.9852563859142807,0.06665735930386213
48,10,0.6921921311230166,0.16334138186095618
48,20,0.7551754041494865,0.14188744410143117
48,30,0.7300285327823125,0.15940740654252628
48,40,0.7596363979193353,0.18277188589807364
80,10,1.0,0.05352989291086926
80,20,0.9859283625730995,0.10391097362347991
80,30,0.6412067099567098,0.07640981348517836
80,40,0.6721052948026632,0.1196824889168875
82,10,0.40705298054435984,0.021235334242293378
82,20,0.23209714136438275,0.07593547904129705
82,30,0.8052184405632681,0.07771822474635709
82,40,0.6998836891078271,0.07735994186993685
84,10,0.39267399267399267,0.05039464223000197
84,20,0.9645299145299145,0.1046512507436298
84,30,0.9245726495726496,0.07186555471213281
84,40,0.9034595034595034,0.1464849111502408
86,10,0.9708290386861815,0.07716404720484536
86,20,0.9309033438903569,0.0476304398072071
86,30,0.9848141276712705,0.05821848479718816
86,40,0.9628578612344846,0.07569077980842687
88,10,0.5478361689146003,0.03316684475555731
88,20,0.4864305629011511,0.08538503894834434
88,30,0.8386067333779752,0.1604774703742048
88,40,0.26445203912524173,0.1071433644909923
120,10,0.9910818713450292,0.33183325926604185
120,20,0.5729230929888824,0.1551553202599465
120,30,0.9953497525865947,0.40240797491726227
120,40,0.9850772765246449,0.5727408278033551
122,10,1.0,0.4034686466358751
122,20,0.994759825327511,0.3515649865704503
122,30,0.9951237263464338,0.39799645095688957
122,40,0.8397379912663756,0.4183680161395379
124,10,0.9153235653235652,0.07692362518952968
124,20,0.9281898656898656,0.09673664386507831
124,30,0.9938949938949938,0.12347042916515533
124,40,0.9835470085470086,0.17406061995864688
126,10,1.0,0.5999623488885787
126,20,1.0,0.5499625187953089
126,30,1.0,0.5443278421295535
126,40,0.9991379310344828,0.5060887950560494
128,10,0.9707427536231883,0.731586260879033
128,20,0.7940146447755143,0.5065741996901472
128,30,0.7052503957395262,0.5389714943979109
128,40,0.9910824863542256,0.9158959826529731
