,job_id,data_div,model_type,pretrained,num,training_category,testing_category,hole,augment,scale,restriction_axes,lr,batch_size,max_epoch,name,dir,logs_dir,eval_dir,stats_dir,checkpoints_dir,tensorboard_logs_dir,logs,eval,testing_frame_path,stats,checkpoint,eval_heatmap,eval_heatmap_ood,eval_heatmap_id,unrestricted_axis
42,322,30,ModelType.ResNet,False,80,car,car,0,False,False,"(0, 1)",0.001,230,10,Div30,/home/avic/om2/experiments_half/exp80,/home/avic/om2/experiments_half/exp80/logs,/home/avic/om2/experiments_half/exp80/eval,/home/avic/om2/experiments_half/exp80/stats,/home/avic/om2/experiments_half/exp80/checkpoints,/home/avic/om2/experiments_half/exp80/tensorboard_logs/322,/home/avic/om2/experiments_half/exp80/logs/Div30.txt,/home/avic/om2/experiments_half/exp80/eval/Div30.csv,/home/avic/om2/experiments_half/exp80/eval/TestingFrame_Div30.csv,/home/avic/om2/experiments_half/exp80/stats/Div30.csv,/home/avic/om2/experiments_half/exp80/checkpoints/Div30.pt,/home/avic/om2/experiments_half/exp80/eval/Div30_heatmap.npy,/home/avic/om2/experiments_half/exp80/eval/Div30_heatmap_ood.npy,/home/avic/om2/experiments_half/exp80/eval/42_heatmap_id.npy,2
43,323,40,ModelType.ResNet,False,80,car,car,0,False,False,"(0, 1)",0.001,230,10,Div40,/home/avic/om2/experiments_half/exp80,/home/avic/om2/experiments_half/exp80/logs,/home/avic/om2/experiments_half/exp80/eval,/home/avic/om2/experiments_half/exp80/stats,/home/avic/om2/experiments_half/exp80/checkpoints,/home/avic/om2/experiments_half/exp80/tensorboard_logs/323,/home/avic/om2/experiments_half/exp80/logs/Div40.txt,/home/avic/om2/experiments_half/exp80/eval/Div40.csv,/home/avic/om2/experiments_half/exp80/eval/TestingFrame_Div40.csv,/home/avic/om2/experiments_half/exp80/stats/Div40.csv,/home/avic/om2/experiments_half/exp80/checkpoints/Div40.pt,/home/avic/om2/experiments_half/exp80/eval/Div40_heatmap.npy,/home/avic/om2/experiments_half/exp80/eval/Div40_heatmap_ood.npy,/home/avic/om2/experiments_half/exp80/eval/43_heatmap_id.npy,2
44,328,10,ModelType.ResNet,False,82,car,car,0,False,False,"(1, 2)",0.001,230,10,Div10,/home/avic/om2/experiments_half/exp82,/home/avic/om2/experiments_half/exp82/logs,/home/avic/om2/experiments_half/exp82/eval,/home/avic/om2/experiments_half/exp82/stats,/home/avic/om2/experiments_half/exp82/checkpoints,/home/avic/om2/experiments_half/exp82/tensorboard_logs/328,/home/avic/om2/experiments_half/exp82/logs/Div10.txt,/home/avic/om2/experiments_half/exp82/eval/Div10.csv,/home/avic/om2/experiments_half/exp82/eval/TestingFrame_Div10.csv,/home/avic/om2/experiments_half/exp82/stats/Div10.csv,/home/avic/om2/experiments_half/exp82/checkpoints/Div10.pt,/home/avic/om2/experiments_half/exp82/eval/Div10_heatmap.npy,/home/avic/om2/experiments_half/exp82/eval/Div10_heatmap_ood.npy,/home/avic/om2/experiments_half/exp82/eval/44_heatmap_id.npy,0
45,329,20,ModelType.ResNet,False,82,car,car,0,False,False,"(1, 2)",0.001,230,10,Div20,/home/avic/om2/experiments_half/exp82,/home/avic/om2/experiments_half/exp82/logs,/home/avic/om2/experiments_half/exp82/eval,/home/avic/om2/experiments_half/exp82/stats,/home/avic/om2/experiments_half/exp82/checkpoints,/home/avic/om2/experiments_half/exp82/tensorboard_logs/329,/home/avic/om2/experiments_half/exp82/logs/Div20.txt,/home/avic/om2/experiments_half/exp82/eval/Div20.csv,/home/avic/om2/experiments_half/exp82/eval/TestingFrame_Div20.csv,/home/avic/om2/experiments_half/exp82/stats/Div20.csv,/home/avic/om2/experiments_half/exp82/checkpoints/Div20.pt,/home/avic/om2/experiments_half/exp82/eval/Div20_heatmap.npy,/home/avic/om2/experiments_half/exp82/eval/Div20_heatmap_ood.npy,/home/avic/om2/experiments_half/exp82/eval/45_heatmap_id.npy,0
46,330,30,ModelType.ResNet,False,82,car,car,0,False,False,"(1, 2)",0.001,230,10,Div30,/home/avic/om2/experiments_half/exp82,/home/avic/om2/experiments_half/exp82/logs,/home/avic/om2/experiments_half/exp82/eval,/home/avic/om2/experiments_half/exp82/stats,/home/avic/om2/experiments_half/exp82/checkpoints,/home/avic/om2/experiments_half/exp82/tensorboard_logs/330,/home/avic/om2/experiments_half/exp82/logs/Div30.txt,/home/avic/om2/experiments_half/exp82/eval/Div30.csv,/home/avic/om2/experiments_half/exp82/eval/TestingFrame_Div30.csv,/home/avic/om2/experiments_half/exp82/stats/Div30.csv,/home/avic/om2/experiments_half/exp82/checkpoints/Div30.pt,/home/avic/om2/experiments_half/exp82/eval/Div30_heatmap.npy,/home/avic/om2/experiments_half/exp82/eval/Div30_heatmap_ood.npy,/home/avic/om2/experiments_half/exp82/eval/46_heatmap_id.npy,0
47,331,40,ModelType.ResNet,False,82,car,car,0,False,False,"(1, 2)",0.001,230,10,Div40,/home/avic/om2/experiments_half/exp82,/home/avic/om2/experiments_half/exp82/logs,/home/avic/om2/experiments_half/exp82/eval,/home/avic/om2/experiments_half/exp82/stats,/home/avic/om2/experiments_half/exp82/checkpoints,/home/avic/om2/experiments_half/exp82/tensorboard_logs/331,/home/avic/om2/experiments_half/exp82/logs/Div40.txt,/home/avic/om2/experiments_half/exp82/eval/Div40.csv,/home/avic/om2/experiments_half/exp82/eval/TestingFrame_Div40.csv,/home/avic/om2/experiments_half/exp82/stats/Div40.csv,/home/avic/om2/experiments_half/exp82/checkpoints/Div40.pt,/home/avic/om2/experiments_half/exp82/eval/Div40_heatmap.npy,/home/avic/om2/experiments_half/exp82/eval/Div40_heatmap_ood.npy,/home/avic/om2/experiments_half/exp82/eval/47_heatmap_id.npy,0
48,336,10,ModelType.ResNet,False,84,car,car,0,False,False,"(0, 2)",0.001,230,10,Div10,/home/avic/om2/experiments_half/exp84,/home/avic/om2/experiments_half/exp84/logs,/home/avic/om2/experiments_half/exp84/eval,/home/avic/om2/experiments_half/exp84/stats,/home/avic/om2/experiments_half/exp84/checkpoints,/home/avic/om2/experiments_half/exp84/tensorboard_logs/336,/home/avic/om2/experiments_half/exp84/logs/Div10.txt,/home/avic/om2/experiments_half/exp84/eval/Div10.csv,/home/avic/om2/experiments_half/exp84/eval/TestingFrame_Div10.csv,/home/avic/om2/experiments_half/exp84/stats/Div10.csv,/home/avic/om2/experiments_half/exp84/checkpoints/Div10.pt,/home/avic/om2/experiments_half/exp84/eval/Div10_heatmap.npy,/home/avic/om2/experiments_half/exp84/eval/Div10_heatmap_ood.npy,/home/avic/om2/experiments_half/exp84/eval/48_heatmap_id.npy,1
49,337,20,ModelType.ResNet,False,84,car,car,0,False,False,"(0, 2)",0.001,230,10,Div20,/home/avic/om2/experiments_half/exp84,/home/avic/om2/experiments_half/exp84/logs,/home/avic/om2/experiments_half/exp84/eval,/home/avic/om2/experiments_half/exp84/stats,/home/avic/om2/experiments_half/exp84/checkpoints,/home/avic/om2/experiments_half/exp84/tensorboard_logs/337,/home/avic/om2/experiments_half/exp84/logs/Div20.txt,/home/avic/om2/experiments_half/exp84/eval/Div20.csv,/home/avic/om2/experiments_half/exp84/eval/TestingFrame_Div20.csv,/home/avic/om2/experiments_half/exp84/stats/Div20.csv,/home/avic/om2/experiments_half/exp84/checkpoints/Div20.pt,/home/avic/om2/experiments_half/exp84/eval/Div20_heatmap.npy,/home/avic/om2/experiments_half/exp84/eval/Div20_heatmap_ood.npy,/home/avic/om2/experiments_half/exp84/eval/49_heatmap_id.npy,1
50,338,30,ModelType.ResNet,False,84,car,car,0,False,False,"(0, 2)",0.001,230,10,Div30,/home/avic/om2/experiments_half/exp84,/home/avic/om2/experiments_half/exp84/logs,/home/avic/om2/experiments_half/exp84/eval,/home/avic/om2/experiments_half/exp84/stats,/home/avic/om2/experiments_half/exp84/checkpoints,/home/avic/om2/experiments_half/exp84/tensorboard_logs/338,/home/avic/om2/experiments_half/exp84/logs/Div30.txt,/home/avic/om2/experiments_half/exp84/eval/Div30.csv,/home/avic/om2/experiments_half/exp84/eval/TestingFrame_Div30.csv,/home/avic/om2/experiments_half/exp84/stats/Div30.csv,/home/avic/om2/experiments_half/exp84/checkpoints/Div30.pt,/home/avic/om2/experiments_half/exp84/eval/Div30_heatmap.npy,/home/avic/om2/experiments_half/exp84/eval/Div30_heatmap_ood.npy,/home/avic/om2/experiments_half/exp84/eval/50_heatmap_id.npy,1
51,339,40,ModelType.ResNet,False,84,car,car,0,False,False,"(0, 2)",0.001,230,10,Div40,/home/avic/om2/experiments_half/exp84,/home/avic/om2/experiments_half/exp84/logs,/home/avic/om2/experiments_half/exp84/eval,/home/avic/om2/experiments_half/exp84/stats,/home/avic/om2/experiments_half/exp84/checkpoints,/home/avic/om2/experiments_half/exp84/tensorboard_logs/339,/home/avic/om2/experiments_half/exp84/logs/Div40.txt,/home/avic/om2/experiments_half/exp84/eval/Div40.csv,/home/avic/om2/experiments_half/exp84/eval/TestingFrame_Div40.csv,/home/avic/om2/experiments_half/exp84/stats/Div40.csv,/home/avic/om2/experiments_half/exp84/checkpoints/Div40.pt,/home/avic/om2/experiments_half/exp84/eval/Div40_heatmap.npy,/home/avic/om2/experiments_half/exp84/eval/Div40_heatmap_ood.npy,/home/avic/om2/experiments_half/exp84/eval/51_heatmap_id.npy,1
